id,category,distance,nodes,strnodes
323,service,66.33485329770338,"[u'1759597567', u'2717808171', u'1759598144', u'1759597840', u'1759597604']",^31.285363500000003^121.20845929999999^31.28538^121.2084199^31.285434499999997^121.20829009999999^31.2854782^121.2080008^31.2854782^121.2077862
324,service,21.3057613294514,"[u'1759597567', u'1759597996']",^31.285363500000003^121.20845929999999^31.285262699999997^121.20864979999999
325,service,21.30576132967477,"[u'1759597996', u'1759597567']",^31.285262699999997^121.20864979999999^31.285363500000003^121.20845929999999
326,service,96.45092860628128,"[u'1759597996', u'2717808173', u'1759597709', u'1759597914', u'1759598021', u'1759597920']",^31.285262699999997^121.20864979999999^31.2852054^121.2087078^31.2850747^121.2088402^31.284866100000002^121.2089904^31.284705699999996^121.2090602^31.284504^121.2090977
327,service,96.45092860695136,"[u'1759597920', u'1759598021', u'1759597914', u'1759597709', u'2717808173', u'1759597996']",^31.284504^121.2090977^31.284705699999996^121.2090602^31.284866100000002^121.2089904^31.2850747^121.2088402^31.2852054^121.2087078^31.285262699999997^121.20864979999999
328,service,88.45175111587082,"[u'1759597920', u'1759598165', u'1759597689', u'1759597668', u'1759598214', u'1759598224']",^31.284504^121.2090977^31.2843229^121.2090977^31.284151^121.2090575^31.2839882^121.2089851^31.283853000000004^121.2088939^31.2837624^121.2088196
329,service,88.45175111646574,"[u'1759598224', u'1759598214', u'1759597668', u'1759597689', u'1759598165', u'1759597920']",^31.2837624^121.2088196^31.283853000000004^121.2088939^31.2839882^121.2089851^31.284151^121.2090575^31.2843229^121.2090977^31.284504^121.2090977
330,service,28.322014875168144,"[u'1759598126', u'1759597678', u'1759597776', u'1759598202', u'2717390055', u'1759597763']",^31.284537^121.2080456^31.2845724^121.20800290000001^31.284593400000002^121.20794860000001^31.2845974^121.20788929999999^31.284583899999998^121.2078318^31.2845545^121.2077832
331,service,28.322014874696155,"[u'1759597763', u'2717390055', u'1759598202', u'1759597776', u'1759597678', u'1759598126']",^31.2845545^121.2077832^31.284583899999998^121.2078318^31.2845974^121.20788929999999^31.284593400000002^121.20794860000001^31.2845724^121.20800290000001^31.284537^121.2080456
332,service,21.312048091813253,"[u'1759597763', u'1759597531', u'1759597729', u'2717390048', u'1759598231']",^31.2845545^121.2077832^31.284515399999997^121.20775060000001^31.284469399999995^121.2077344^31.2844214^121.2077363^31.2843765^121.20775619999999
333,service,21.31204809168037,"[u'1759598231', u'2717390048', u'1759597729', u'1759597531', u'1759597763']",^31.2843765^121.20775619999999^31.2844214^121.2077363^31.284469399999995^121.2077344^31.284515399999997^121.20775060000001^31.2845545^121.2077832
334,service,11.578357195969813,"[u'1759598231', u'1759597812', u'2717390051', u'1759597985']",^31.2843765^121.20775619999999^31.284348699999995^121.2077805^31.284326500000002^121.2078118^31.284311199999998^121.2078482
335,service,11.578357195876391,"[u'1759597985', u'2717390051', u'1759597812', u'1759598231']",^31.284311199999998^121.2078482^31.284326500000002^121.2078118^31.284348699999995^121.2077805^31.2843765^121.20775619999999
336,service,18.843370065913348,"[u'1759597985', u'1759598154', u'1759598053', u'2717390053', u'1759597542']",^31.284311199999998^121.2078482^31.284303^121.20789679999999^31.284306899999997^121.20794609999999^31.284322600000003^121.20799209999998^31.2843488^121.20803090000001
337,service,18.84337006591145,"[u'1759597542', u'2717390053', u'1759598053', u'1759598154', u'1759597985']",^31.2843488^121.20803090000001^31.284322600000003^121.20799209999998^31.284306899999997^121.20794609999999^31.284303^121.20789679999999^31.284311199999998^121.2078482
338,service,22.589664951386872,"[u'1759597542', u'1759597626', u'1759598039', u'1759598083', u'1759598126']",^31.2843488^121.20803090000001^31.2843912^121.2080639^31.284440600000003^121.208078^31.2844912^121.20807169999999^31.284537^121.2080456
339,service,22.58966495136409,"[u'1759598126', u'1759598083', u'1759598039', u'1759597626', u'1759597542']",^31.284537^121.2080456^31.2844912^121.20807169999999^31.284440600000003^121.208078^31.2843912^121.2080639^31.2843488^121.20803090000001
340,service,113.42791174218591,"[u'1759598197', u'1759598138', u'1759597661', u'1759597512', u'1759598033', u'1759597706']",^31.2897002^121.2040527^31.289576399999998^121.2037738^31.289544300000003^121.2035378^31.2895489^121.2033393^31.289585600000002^121.20315149999999^31.289690999999998^121.2029369
341,service,113.42791174233152,"[u'1759597706', u'1759598033', u'1759597512', u'1759597661', u'1759598138', u'1759598197']",^31.289690999999998^121.2029369^31.289585600000002^121.20315149999999^31.2895489^121.2033393^31.289544300000003^121.2035378^31.289576399999998^121.2037738^31.2897002^121.2040527
342,service,49.720859750155505,"[u'1759597623', u'1759597767', u'1759597622', u'1759597965']",^31.292982399999996^121.2049111^31.292927399999996^121.20510420000001^31.2928632^121.205249^31.292807^121.20539040000001
343,service,49.72085975030878,"[u'1759597965', u'1759597622', u'1759597767', u'1759597623']",^31.292807^121.20539040000001^31.2928632^121.205249^31.292927399999996^121.20510420000001^31.292982399999996^121.2049111
344,service,85.11325267737665,"[u'1759597965', u'1759597854', u'1759597773', u'1759598222', u'1759597981']",^31.292807^121.20539040000001^31.2926477^121.2055387^31.2924323^121.20567279999999^31.292253499999998^121.2057318^31.2921206^121.2057479
345,service,85.11325267690488,"[u'1759597981', u'1759598222', u'1759597773', u'1759597854', u'1759597965']",^31.2921206^121.2057479^31.292253499999998^121.2057318^31.2924323^121.20567279999999^31.2926477^121.2055387^31.292807^121.20539040000001
346,service,14.795831195966727,"[u'1759597584', u'3878436132']",^31.287300300000002^121.20314809999999^31.287393599999998^121.20325919999999
347,service,14.795831195867484,"[u'3878436132', u'1759597584']",^31.287393599999998^121.20325919999999^31.287300300000002^121.20314809999999
348,service,27.451692242292467,"[u'1759597813', u'1759597571']",^31.288615999999998^121.208451^31.2884739^121.2086871
349,service,27.45169224232389,"[u'1759597571', u'1759597813']",^31.2884739^121.2086871^31.288615999999998^121.208451
350,tertiary,545.7975199841371,"[u'1759597737', u'1759597842', u'1759597726']",^31.2933941^121.22417220000001^31.293119^121.2221037^31.2926359^121.2185081
351,tertiary,545.7975199841206,"[u'1759597726', u'1759597842', u'1759597737']",^31.2926359^121.2185081^31.293119^121.2221037^31.2933941^121.22417220000001
352,tertiary,9.959411740645232,"[u'1759597726', u'1759597674']",^31.2926359^121.2185081^31.292635200000003^121.2184035
353,tertiary,9.959411740644851,"[u'1759597674', u'1759597726']",^31.292635200000003^121.2184035^31.2926359^121.2185081
