id,oneway,category,nodes
126,False,service,"[u'1487066340', u'1487066349']"
127,False,service,"[u'1487066349', u'1487066340']"
128,False,service,"[u'1487066349', u'1486922500']"
129,False,service,"[u'1486922500', u'1487066349']"
130,False,service,"[u'1487066347', u'1486922499']"
131,False,service,"[u'1486922499', u'1487066347']"
132,False,steps,"[u'1486844820', u'1487314710']"
133,False,steps,"[u'1487314710', u'1486844820']"
134,False,service,"[u'1487328508', u'1487328512', u'1487328516', u'1487328518', u'1487328522', u'3879213219', u'1487328524', u'1487328530', u'1487328532', u'1487328535']"
135,False,service,"[u'1487328535', u'1487328532', u'1487328530', u'1487328524', u'3879213219', u'1487328522', u'1487328518', u'1487328516', u'1487328512', u'1487328508']"
136,False,service,"[u'1487328535', u'2717928771']"
137,False,service,"[u'2717928771', u'1487328535']"
138,False,service,"[u'2717928771', u'1487328537']"
139,False,service,"[u'1487328537', u'2717928771']"
140,False,service,"[u'1486922505', u'1487328534']"
141,False,service,"[u'1487328534', u'1486922505']"
142,False,service,"[u'1487328534', u'1487328531', u'1487328529', u'1487328523', u'1487328520', u'1487328517', u'1487328515', u'1487328511', u'1487328506']"
143,False,service,"[u'1487328506', u'1487328511', u'1487328515', u'1487328517', u'1487328520', u'1487328523', u'1487328529', u'1487328531', u'1487328534']"
144,False,service,"[u'1487328534', u'1487328535']"
145,False,service,"[u'1487328535', u'1487328534']"
146,False,service,"[u'1487328535', u'1759597845']"
147,False,service,"[u'1759597845', u'1487328535']"
148,False,service,"[u'1759597845', u'1759597600', u'1759597569', u'1759597745', u'3881263993', u'1759597724', u'1759598135', u'1759597629', u'1759597556', u'1759598228']"
149,False,service,"[u'1759598228', u'1759597556', u'1759597629', u'1759598135', u'1759597724', u'3881263993', u'1759597745', u'1759597569', u'1759597600', u'1759597845']"
150,False,service,"[u'1487328534', u'1487328526', u'1487328525', u'1486844841']"
151,False,service,"[u'1486844841', u'1487328525', u'1487328526', u'1487328534']"
152,False,service,"[u'1486844841', u'1487328519', u'1487328514', u'3878436153']"
153,False,service,"[u'3878436153', u'1487328514', u'1487328519', u'1486844841']"
154,False,service,"[u'3878436153', u'1487328510']"
155,False,service,"[u'1487328510', u'3878436153']"
156,False,service,"[u'1759597855', u'1759597581']"
157,False,service,"[u'1759597581', u'1759597855']"
158,False,service,"[u'1759597889', u'1759598071', u'1797222870', u'1759597543', u'1759598106', u'1759598188', u'1759598019', u'1759597969']"
159,False,service,"[u'1759597969', u'1759598019', u'1759598188', u'1759598106', u'1759597543', u'1797222870', u'1759598071', u'1759597889']"
160,False,service,"[u'1759597781', u'2717862503', u'2703797224']"
161,False,service,"[u'2703797224', u'2717862503', u'1759597781']"
162,False,service,"[u'2703797224', u'1759597741', u'2717862461', u'1759598086', u'1759598245']"
163,False,service,"[u'1759598245', u'1759598086', u'2717862461', u'1759597741', u'2703797224']"
164,False,service,"[u'1759598245', u'1759597834', u'1759597624']"
165,False,service,"[u'1759597624', u'1759597834', u'1759598245']"
166,False,service,"[u'1759597624', u'1759597669']"
167,False,service,"[u'1759597669', u'1759597624']"
168,False,service,"[u'1759597836', u'1759597810', u'1759597630', u'1759597585', u'1759597965']"
169,False,service,"[u'1759597965', u'1759597585', u'1759597630', u'1759597810', u'1759597836']"
170,False,service,"[u'1759597965', u'1759597953']"
171,False,service,"[u'1759597953', u'1759597965']"
172,False,service,"[u'1759597953', u'1759598080', u'1759597967', u'1759597969']"
173,False,service,"[u'1759597969', u'1759597967', u'1759598080', u'1759597953']"
174,False,service,"[u'1759597969', u'1797222872', u'1759597853', u'1797222874', u'1759597573', u'1759597589', u'1759597775', u'1759597847', u'1759597506', u'1797222871', u'1759598191', u'1759597910', u'1759598115', u'1759597991', u'1759598004', u'1759597984', u'1759597632', u'1759598097', u'3729481563', u'3878436152']"
175,False,service,"[u'3878436152', u'3729481563', u'1759598097', u'1759597632', u'1759597984', u'1759598004', u'1759597991', u'1759598115', u'1759597910', u'1759598191', u'1797222871', u'1759597506', u'1759597847', u'1759597775', u'1759597589', u'1759597573', u'1797222874', u'1759597853', u'1797222872', u'1759597969']"
176,False,service,"[u'3878436152', u'1759597510', u'1759597631', u'1759597663']"
177,False,service,"[u'1759597663', u'1759597631', u'1759597510', u'3878436152']"
178,False,service,"[u'1759597663', u'1759597524', u'1759597735', u'1797189481', u'1759598160', u'1797189474', u'1759597722']"
179,False,service,"[u'1759597722', u'1797189474', u'1759598160', u'1797189481', u'1759597735', u'1759597524', u'1759597663']"
180,False,service,"[u'1759597981', u'1759598182', u'1759597903', u'1759597891']"
181,False,service,"[u'1759597891', u'1759597903', u'1759598182', u'1759597981']"
182,False,service,"[u'1759597891', u'1759598013', u'1759597783', u'1759597669']"
183,False,service,"[u'1759597669', u'1759597783', u'1759598013', u'1759597891']"
184,False,service,"[u'1759597669', u'1759597502', u'1759598156', u'1759598112']"
185,False,service,"[u'1759598112', u'1759598156', u'1759597502', u'1759597669']"
186,False,service,"[u'1759598112', u'1759597595']"
187,False,service,"[u'1759597595', u'1759598112']"
188,False,service,"[u'1759597595', u'1759598197']"
189,False,service,"[u'1759598197', u'1759597595']"
190,False,service,"[u'1759598234', u'1759598123']"
191,False,service,"[u'1759598123', u'1759598234']"
192,False,service,"[u'1759598158', u'1759597624']"
193,False,service,"[u'1759597624', u'1759598158']"
194,False,service,"[u'1759597624', u'1759597943']"
195,False,service,"[u'1759597943', u'1759597624']"
196,False,service,"[u'1759597943', u'1759597597']"
197,False,service,"[u'1759597597', u'1759597943']"
198,False,service,"[u'1759597597', u'1759597882']"
199,False,service,"[u'1759597882', u'1759597597']"
200,False,service,"[u'1759597882', u'1759597858', u'1759597901', u'1759598068', u'1759598007', u'1759597739']"
201,False,service,"[u'1759597739', u'1759598007', u'1759598068', u'1759597901', u'1759597858', u'1759597882']"
