origin_id,lat,lon,new_id
1220906302,31.2861824,121.1965298,256
1220906369,31.2880936,121.1973244,257
1220906452,31.2865505,121.1971539,258
1220906612,31.2858028,121.2007590,259
1220906771,31.2957722,121.2036639,260
1220906961,31.2862616,121.1971586,261
1220907076,31.2871238,121.1976222,262
1220907233,31.2847336,121.2002655,263
1220907309,31.2865123,121.1968381,264
1220907410,31.2965265,121.2036524,265
1220907475,31.2864210,121.1974659,266
1220907521,31.2954551,121.2052128,267
1220907763,31.2864031,121.1974368,268
1220907814,31.2936939,121.2002951,269
1220907877,31.2843800,121.1999106,270
1220908159,31.2868973,121.1992473,271
1220908435,31.2855937,121.2004708,272
1220908488,31.2927587,121.2006401,273
1220908572,31.2844684,121.1976909,274
1220908677,31.2885236,121.1982526,275
1220909196,31.2933529,121.2027417,276
1220909359,31.2910929,121.1972492,277
1220909624,31.2855571,121.2000018,278
1220909694,31.2908702,121.1976610,279
1220909794,31.2921081,121.2007864,280
1230491406,31.2906410,121.2018908,281
1230491629,31.2878521,121.2028323,282
1230491659,31.2896719,121.2028344,283
1230492085,31.2871305,121.1831107,284
1230492386,31.2886027,121.2039560,285
1230492737,31.2871543,121.2028803,286
1230492759,31.2875596,121.1806807,287
1230492991,31.2873905,121.1819428,288
1230493828,31.2872594,121.1825073,289
1246570803,31.2855904,121.2182011,290
1246570817,31.2875483,121.2188700,291
1246570826,31.2853997,121.2182179,292
1246570831,31.2768318,121.2115585,293
1246570837,31.2906235,121.2186926,294
1246570853,31.2865346,121.2185689,295
1246570858,31.2859158,121.2184700,296
1246570863,31.2852946,121.2181603,297
1246570865,31.2904294,121.2186003,298
1246570875,31.2948333,121.2183118,299
1246570883,31.2878668,121.2187882,300
1246570891,31.2800158,121.2140259,301
1246570893,31.2850409,121.2178839,302
1246570903,31.2855899,121.2183192,303
1246570905,31.2884952,121.2188845,304
1246570910,31.2881781,121.2187918,305
1246570915,31.2904381,121.2187093,306
1246570930,31.2853889,121.2180946,307
1246570944,31.2768086,121.2114127,308
1246570947,31.2948318,121.2182083,309
1246570952,31.2865166,121.2186759,310
1246570965,31.2849929,121.2179739,311
1246570976,31.2847660,121.2176897,312
1246570985,31.2878685,121.2188956,313
1246570998,31.2872305,121.2188305,314
1246571007,31.2853251,121.2180543,315
1246571008,31.2800552,121.2139148,316
1246571019,31.2881826,121.2188988,317
1246571027,31.2868877,121.2187723,318
1246571050,31.2802227,121.2141905,319
1246571058,31.2802680,121.2140860,320
1246571065,31.2872386,121.2187231,321
1246571066,31.2862067,121.2185817,322
1246571073,31.2847122,121.2177787,323
1246571082,31.2875535,121.2187666,324
1246571088,31.2869044,121.2186698,325
1246571093,31.2844419,121.2175815,326
1455057526,31.2756361,121.2058110,327
1455057529,31.2757265,121.2057866,328
1455057530,31.2758170,121.2057662,329
1455057533,31.2759978,121.2057459,330
1455057540,31.2761926,121.2057500,331
1455057542,31.2764083,121.2057744,332
1455057543,31.2766517,121.2058192,333
1455057638,31.2835995,121.2072784,334
1455069190,31.2743370,121.1996078,335
1455069192,31.2744105,121.1996006,336
1455069193,31.2745125,121.1995991,337
1455069194,31.2745934,121.1996073,338
1455069195,31.2746748,121.1996209,339
1455069196,31.2747611,121.1996404,340
1455069197,31.2748557,121.1996675,341
1455069198,31.2777159,121.2006481,342
1455069199,31.2780287,121.2007623,343
1455069200,31.2784036,121.2009154,344
1455069201,31.2789892,121.2011853,345
1455069202,31.2792066,121.2013047,346
1455069203,31.2794262,121.2014501,347
1455069204,31.2796081,121.2016006,348
1455069205,31.2798122,121.2018057,349
1455069207,31.2799852,121.2020237,350
1455069208,31.2801693,121.2022962,351
1455069209,31.2803024,121.2025532,352
1455069210,31.2803956,121.2027945,353
1455069211,31.2804732,121.2030255,354
1455069212,31.2805464,121.2032799,355
1455069213,31.2805974,121.2035446,356
1455069214,31.2806240,121.2037860,357
1455069215,31.2806351,121.2040274,358
1455069216,31.2806340,121.2042420,359
1455069217,31.2806229,121.2044386,360
1455069218,31.2805941,121.2046514,361
1455069220,31.2805520,121.2048642,362
1455069221,31.2804943,121.2050978,363
1455069222,31.2804033,121.2053652,364
1455069223,31.2775729,121.2119924,365
1455069224,31.2799164,121.2065021,366
1486844820,31.2845794,121.2120264,367
1486844821,31.2846719,121.2120122,368
1486844823,31.2847359,121.2119781,369
1486844824,31.2847967,121.2119248,370
1486844825,31.2848509,121.2118550,371
