id,from,to,cost
101,741,2490,5.5528600786434295
102,741,738,32.81209918114028
103,738,741,32.812099181185644
104,738,735,8.981585757031635
105,735,738,8.981585756942971
106,735,733,10.544375346029568
107,733,735,10.54437534596268
108,733,724,41.03151358597254
109,724,733,41.031513585841466
110,724,729,18.25164441253104
111,729,724,18.25164441256752
112,729,835,8.885413367750301
113,835,729,8.885413367691953
114,835,739,30.31140381133436
115,739,835,30.311403811292337
116,739,2490,5.5549846536298935
117,2490,739,5.554984653829175
118,1615,722,100.49674726788969
119,722,1615,100.49674726788521
120,733,750,139.08658684064466
121,750,733,139.08658684057187
122,1560,1552,266.8334177881791
123,1552,1560,266.8334177887035
124,750,748,34.42831948071961
125,748,750,34.42831948080039
126,747,749,33.92120299369009
127,749,747,33.92120299356741
128,749,724,134.92862346652143
129,724,749,134.92862346634703
130,748,723,11.578097709113438
131,723,748,11.57809770907027
132,367,808,15.761612665271715
133,808,367,15.761612665317465
134,813,834,472.291010032719
135,834,813,472.2910100325204
136,834,3773,90.12857262360542
137,3773,834,90.12857262355364
138,3773,835,228.7800190871949
139,835,3773,228.78001908711272
140,729,833,318.1328176860615
141,833,729,318.1328176860036
142,833,812,464.9943812156712
143,812,833,464.99438121621665
144,833,834,8.579109414958442
145,834,833,8.579109414713544
146,834,1544,123.01893705502756
147,1544,834,123.01893705487423
148,1544,1688,321.99370401823865
149,1688,1544,321.9937040191733
150,833,381,80.55140166922045
151,381,833,80.5514016691269
152,381,4222,70.32588973942052
153,4222,381,70.32588974031404
154,4222,814,13.083261811877724
155,814,4222,13.08326181166198
156,1552,1431,27.639527475798907
157,1431,1552,27.63952747582565
158,1563,1600,115.53130266526396
159,1600,1563,115.53130266505852
160,1519,2657,14.827550993566055
161,2657,1519,14.82755099383672
162,2657,1694,120.17124539200321
163,1694,2657,120.17124539224498
164,1694,1452,155.7721175712029
165,1452,1694,155.77211757123285
166,1452,1475,125.0611504492262
167,1475,1452,125.06115044914655
168,1540,1598,347.43060430710364
169,1598,1540,347.4306043069097
170,1598,1593,10.6184663530029
171,1593,1598,10.618466353035265
172,1593,1600,97.10479616695623
173,1600,1593,97.10479616712122
