id,from,to,cost,nodes
318,1759597587,1759597720,26.202967642548806,"[u'1759597587', u'1759597720']"
319,1759597720,1759597587,26.202967642522303,"[u'1759597720', u'1759597587']"
320,1759598077,1759597604,85.36459243537621,"[u'1759598077', u'1759597586', u'1759597516', u'1759597604']"
321,1759597604,1759598077,85.36459243551717,"[u'1759597604', u'1759597516', u'1759597586', u'1759598077']"
322,1759597604,1759597567,66.33485329782735,"[u'1759597604', u'1759597840', u'1759598144', u'2717808171', u'1759597567']"
323,1759597567,1759597604,66.33485329770338,"[u'1759597567', u'2717808171', u'1759598144', u'1759597840', u'1759597604']"
324,1759597567,1759597996,21.3057613294514,"[u'1759597567', u'1759597996']"
325,1759597996,1759597567,21.30576132967477,"[u'1759597996', u'1759597567']"
326,1759597996,1759597920,96.45092860628127,"[u'1759597996', u'2717808173', u'1759597709', u'1759597914', u'1759598021', u'1759597920']"
327,1759597920,1759597996,96.45092860695138,"[u'1759597920', u'1759598021', u'1759597914', u'1759597709', u'2717808173', u'1759597996']"
328,1759597920,1759598224,88.45175111587082,"[u'1759597920', u'1759598165', u'1759597689', u'1759597668', u'1759598214', u'1759598224']"
329,1759598224,1759597920,88.45175111646574,"[u'1759598224', u'1759598214', u'1759597668', u'1759597689', u'1759598165', u'1759597920']"
330,1759598126,1759597763,28.322014875168144,"[u'1759598126', u'1759597678', u'1759597776', u'1759598202', u'2717390055', u'1759597763']"
331,1759597763,1759598126,28.322014874696155,"[u'1759597763', u'2717390055', u'1759598202', u'1759597776', u'1759597678', u'1759598126']"
332,1759597763,1759598231,21.312048091813253,"[u'1759597763', u'1759597531', u'1759597729', u'2717390048', u'1759598231']"
333,1759598231,1759597763,21.312048091680374,"[u'1759598231', u'2717390048', u'1759597729', u'1759597531', u'1759597763']"
334,1759598231,1759597985,11.578357195969811,"[u'1759598231', u'1759597812', u'2717390051', u'1759597985']"
335,1759597985,1759598231,11.57835719587639,"[u'1759597985', u'2717390051', u'1759597812', u'1759598231']"
